urn:cts:greekLit:tlg5026.msAim.hmt:14.G1	σὺ δ' επόψεαι αυτους 	urn:cts:greekLit:tlg0012.tlg001.msA:14.145	εὐρὺ κονίσσουσιν πεδίον . σὺ δ᾽ ἐπόψεαι αὐτὸς
urn:cts:greekLit:tlg5026.msAim.hmt:14.G5	 ὅπως ϊμείραιτο 	urn:cts:greekLit:tlg0012.tlg001.msA:14.163	εἴ πως ϊμείραιτο παραδραθέειν φιλότητι
urn:cts:greekLit:tlg5026.msAim.hmt:14.A4	κωμ' ἐκαλυψα 	urn:cts:greekLit:tlg0012.tlg001.msA:14.359	Ζεὺς . ἐπεὶ αὐτῷ ἐγὼ μαλακὸν περι κῶμα κάλυψα·
urn:cts:greekLit:tlg5026.msAim.hmt:17.38	ὦρσεν Ἀχαιους  	urn:cts:greekLit:tlg0012.tlg001.msA:17.273	Τρωῇσιν . τῶ καί οἱ ἀμυνέμεν . ῶρσεν ἑταίρους·
urn:cts:greekLit:tlg5026.msAim.hmt:17.43	ἀμύνοι 	urn:cts:greekLit:tlg0012.tlg001.msA:17.630	γνοίη , ὅτι Τρώεσσι πατὴρ Ζεὺς αὐτὸς ἀρήγει·
urn:cts:greekLit:tlg5026.msAim.hmt:17.46	ὁρᾶσθαι	urn:cts:greekLit:tlg0012.tlg001.msA:17.646	ποίησον δ' αἴθρην· δὸς δ' ὀφθαλμοῖσιν ἰ̈δέσθαι·
urn:cts:greekLit:tlg5026.msAim.hmt:18.26	ξίφεσσι 	urn:cts:greekLit:tlg0012.tlg001.msA:18.231	ἀμφὶ σφοῖς ὀχέεσσι καὶ ἔγχεσιν· αὐτὰρ Ἀχαιοὶ .
urn:cts:greekLit:tlg5026.msAim.hmt:18.31	μαχέσσεται 	urn:cts:greekLit:tlg0012.tlg001.msA:18.265	ἀλλα περὶ πτόλιός τε μαχήσεται ἠδὲ γυναικῶν·
urn:cts:greekLit:tlg5026.msAim.hmt:18.40	δύσονται ἀγῶνα 	urn:cts:greekLit:tlg0012.tlg001.msA:18.376	ὄφρά οἱ αὐτόματοι θεῖον δυσαίατ' ἀγῶνα .
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_3	αὐτῇ δ' αὖ 	urn:cts:greekLit:tlg0012.tlg001.msA:19.355	αὐτὴ δὲ πρὸς πατρὸς ἐρισθενέος πυκινὸν δῶ
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_7	 ἄψ λαῶν	urn:cts:greekLit:tlg0012.tlg001.msA:19.402	ὰψ Δαναῶν ἐς όμιλον . ἐπεί χ' ἑῶμεν πολέμοιο·
urn:cts:greekLit:tlg5026.msAint.hmt:7.3016	ἀλλά σιωπῇ	urn:cts:greekLit:tlg0012.tlg001.msA:7.427	οὐδ᾽ εἴα κλαίειν Πρίαμος μέγας· οἱ δὲ σιωπῇ
urn:cts:greekLit:tlg5026.msAint.hmt:8.188	θήκατο νεβρόν 	urn:cts:greekLit:tlg0012.tlg001.msA:8.249	παρ δὲ Διὸς βωμῷ περικαλλέϊ κάββαλε . νεβρὸν .
urn:cts:greekLit:tlg5026.msAint.hmt:10.54	πάθωσιν	urn:cts:greekLit:tlg0012.tlg001.msA:10.26	ὕπνος ἐπὶ βλεφάροισιν ἐφίζανε . μή τι πάθοιεν
urn:cts:greekLit:tlg5026.msAint.hmt:10.3009	οἱ κεν άριστοι έωσιν	urn:cts:greekLit:tlg0012.tlg001.msA:10.306	οἵ κεν ἀριστεύωσι θοῇς ἐπι νηυσὶν Ἀχαιῶν .
urn:cts:greekLit:tlg5026.msAint.hmt:11.28	εἷλκεν ἐπί Ευρυπύλῳ	urn:cts:greekLit:tlg0012.tlg001.msA:11.583	ἕλκετ' ἐπ' Εὐρυπύλῳ · καί μιν βάλε μηρὸν ὀϊστῷ
urn:cts:greekLit:tlg5026.msAint.hmt:18.13	οὐδ' ἀρὰ	urn:cts:greekLit:tlg0012.tlg001.msA:18.151	οὐδέ κε Πάτροκλόν περ ἐϋκνήμιδες Ἀχαιοὶ
urn:cts:greekLit:tlg5026.msAint.hmt:18.51	ῥαδαλὸν	urn:cts:greekLit:tlg0012.tlg001.msA:18.576	πὰρ ποταμὸν κελάδοντα , παρα ῥοδανὸν δονακῆα·
urn:cts:greekLit:tlg5026.msA.hmt:7.309	ὑβρισταί 	urn:cts:greekLit:tlg0012.tlg001.msA:7.96	ᾤ μοι ἀπειλητῆρες . Ἀχαιΐδες . οὐκέτ᾽ Ἀχαιοί ·
urn:cts:greekLit:tlg5026.msAim.hmt:18.56	φωνή δέ οἱ αἰθέρ ΐκανε 	urn:cts:greekLit:tlg0012.tlg001.msA:18.505	σκῆπτρα δὲ κηρύκων ἐν χὲρσ' ἔχον ἠεροφώνων·
